Conference,Year,No. of Authors
A,1983,13
A,1988,16
A,1992,55
A,1994,50
A,1997,86
A,2000,102
D,2008,126
D,2009,187
D,2010,162
D,2011,179
D,2012,179
D,2013,269
D,2014,279
D,2015,358
E,1983,16
E,1985,18
E,1987,23
E,1989,29
E,1991,34
E,1993,71
E,1995,46
E,1997,76
E,1999,59
E,2003,138
E,2006,92
E,2009,158
E,2012,144
E,2014,223
J,1979,184
J,1980,37
J,1981,57
J,1982,45
J,1983,35
J,1984,39
J,1985,47
J,1986,53
J,1987,51
J,1988,50
J,1989,32
J,1990,28
J,1991,43
J,1992,55
J,1993,62
J,1994,52
J,1995,59
J,1996,48
J,1997,50
J,1998,59
J,1999,52
J,2000,62
J,2001,53
J,2002,29
J,2003,27
J,2004,26
J,2005,30
J,2006,31
J,2007,48
J,2008,57
J,2009,53
J,2010,83
J,2011,73
J,2012,74
J,2013,89
J,2014,74
J,2015,57
K,2015,67
N,2001,26
N,2003,127
N,2004,138
N,2006,169
N,2007,185
N,2009,236
N,2010,225
N,2012,143
N,2013,218
P,1979,9
P,1980,13
P,1981,8
P,1982,17
P,1983,13
P,1984,60
P,1985,23
P,1986,18
P,1987,17
P,1988,17
P,1989,16
P,1990,28
P,1991,45
P,1992,50
P,1993,49
P,1994,55
P,1995,58
P,1996,59
P,1997,76
P,1998,243
P,1999,82
P,2000,86
P,2001,85
P,2002,65
P,2003,148
P,2004,166
P,2005,156
P,2006,392
P,2007,269
P,2008,297
P,2009,311
P,2010,333
P,2011,408
P,2012,276
P,2013,508
P,2014,432
P,2015,461
Q,2013,40
Q,2014,60
Q,2015,16
S,2001,33
S,2007,153
S,2010,133
S,2012,133
S,2013,203
S,2014,209
S,2015,264
W,1990,22
W,1991,35
W,1993,67
W,1994,59
W,1995,15
W,1996,81
W,1997,234
W,1998,225
W,1999,121
W,2000,273
W,2001,191
W,2002,336
W,2003,527
W,2004,669
W,2005,295
W,2006,677
W,2007,426
W,2008,469
W,2009,869
W,2010,950
W,2011,960
W,2012,1010
W,2013,1085
W,2014,1291
W,2015,1225
