Conference,Year,No. of valid citations,No. of invalid citations
N,2001,499,11
N,2003,1131,19
N,2004,1359,26
N,2006,1800,38
N,2007,2025,23
N,2009,2631,53
N,2010,3041,53
N,2012,2455,44
N,2013,3969,86
S,2001,225,10
S,2007,947,22
S,2010,980,29
S,2012,1812,42
S,2013,2658,112
S,2014,2806,86
S,2015,3443,125
A,1983,322,74
A,1988,407,66
A,1992,527,39
A,1994,464,32
A,1997,846,55
A,2000,1362,90
J,1979,479,590
J,1980,355,280
J,1981,373,384
J,1982,294,446
J,1983,297,107
J,1984,400,326
J,1985,419,440
J,1986,331,228
J,1987,411,146
J,1988,952,308
J,1989,474,153
J,1990,444,142
J,1991,724,258
J,1992,752,255
J,1993,804,255
J,1994,644,251
J,1995,814,142
J,1996,722,116
J,1997,1049,72
J,1998,1143,112
J,1999,649,71
J,2000,681,111
J,2001,725,111
J,2002,930,40
J,2003,754,35
J,2004,621,31
J,2005,705,53
J,2006,621,58
J,2007,747,62
J,2008,922,59
J,2009,977,77
J,2010,1326,75
J,2011,1301,89
J,2012,1308,74
J,2013,1571,113
J,2014,1754,106
J,2015,1022,57
D,2008,2332,46
D,2009,3788,36
D,2010,3079,36
D,2011,4013,56
D,2012,4102,62
D,2013,5706,104
D,2014,6306,98
D,2015,8227,146
Q,2013,1281,10
Q,2014,1636,25
Q,2015,437,4
E,1983,307,33
E,1985,389,108
E,1987,509,58
E,1989,574,103
E,1991,615,103
E,1993,678,168
E,1995,619,35
E,1997,1304,41
E,1999,633,21
E,2003,1412,37
E,2006,1195,85
E,2009,2631,21
E,2012,2683,57
E,2014,3705,53
K,2015,1353,24
P,1979,153,13
P,1980,268,50
P,1981,248,157
P,1982,269,66
P,1983,365,50
P,1984,971,177
P,1985,444,117
P,1986,405,80
P,1987,455,67
P,1988,563,48
P,1989,616,25
P,1990,505,64
P,1991,680,70
P,1992,645,72
P,1993,630,42
P,1994,696,27
P,1995,820,32
P,1996,870,36
P,1997,1304,41
P,1998,3028,116
P,1999,1361,31
P,2000,1091,37
P,2001,1119,38
P,2002,990,13
P,2003,1503,44
P,2004,1896,50
P,2005,1955,34
P,2006,5190,120
P,2007,2830,28
P,2008,3552,92
P,2009,3963,37
P,2010,5977,77
P,2011,6535,110
P,2012,4613,84
P,2013,9419,160
P,2014,8502,108
P,2015,9470,139
W,1990,460,55
W,1991,636,102
W,1993,725,96
W,1994,902,115
W,1995,185,147
W,1996,1148,74
W,1997,2979,373
W,1998,3127,335
W,1999,1669,169
W,2000,3676,280
W,2001,2272,147
W,2002,4220,218
W,2003,5530,293
W,2004,7378,362
W,2005,3472,195
W,2006,8362,531
W,2007,5085,329
W,2008,4958,302
W,2009,10800,660
W,2010,11765,726
W,2011,13271,695
W,2012,14243,763
W,2013,16905,853
W,2014,19052,952
W,2015,20101,1015
