Conference,Year,Author Name,Publication
A,1983,"b'A. Biermann , R. Rodman , B. Ballard , T. Betancourt ,'",1
A,1983,b'Frederick B. Thompson',1
A,1983,b'Harold L. Somers',1
A,1983,b'James R. Cowie',1
A,1983,b'Jerrold M. Ginsparg',1
A,1983,b'Karen Jensen and George E. Heidorn',1
A,1983,b'Linguistics Department',1
A,1983,b'Logicon. Inc.',1
A,1983,"b'P. Fink , K. Gilbert , D. Gregory , F. Heidlage'",1
A,1983,"b'R. Grishman*, L. Hirschman+, and C. Friedman**'",1
A,1983,b'Ralph M. Weischedel',1
A,1983,"b'Via Antonini,8 - 33100 Udine, Italy'",1
A,1983,b'Wendy G. Lehnert',1
A,1988,b'Beatrice T. Oshika Filip Machi',1
A,1988,b'David Allport',1
A,1988,b'Elaine Rich\nSusann LuperFoy',1
A,1988,b'Eva I. Ejerhed',1
A,1988,b'Harry Tennant Texas Instruments',1
A,1988,b'Honeywell Inc.',1
A,1988,b'Howard E. Sachar',1
A,1988,b'Jonathan Slocum',1
A,1988,b'Jugal Kalita and Sunil Shende',1
A,1988,b'Madeleine Bates BBN Laboratories\nTim Finin Unisys\nRalph Grishman New York University',1
A,1988,"b'P. 0. Box 704\nYorktown Heights, New York 10598'",1
A,1988,b'Ralph Grishman and Mahesh Chitrao',1
A,1988,b'Ralph Grishman and Ping Peng',1
A,1988,b'Susan E. Brennan',1
A,1988,b'Yael Ravin',1
A,1988,"b'Yorktown Heights, New York 10598'",2
A,1992,b'A. Winarske S. Warwick-Armstrong J. Hajie',1
A,1992,"b'Agirre E., Alegria I., Arregi X.,\nArtola X., Diaz de Ilarraza A.,\nMaritxalar M., Sarasola K.'",1
A,1992,b'Alan W. Biermann',1
A,1992,b'Alberto LaveIli Bernardo Magnini Carlo Strapparava',1
A,1992,b'Ann Copestake',1
A,1992,b'Antonio Sanfilippo*',1
A,1992,b'Cristian Dumitrescu',1
A,1992,b'D. Richard Hipp',1
A,1992,b'David M. Carter*',1
A,1992,b'Doug Cutting and Julian Kupiec and Jan Pedersen and Penelope Sibun',1
A,1992,"b'Ehud Reiter, Chris Mellish, and John Levine'",1
A,1992,b'Eric Brill *',1
A,1992,b'Eugene J. Guglielmo Neil C. Rowe',1
A,1992,b'Eyal Shifroni and Uzzi Oman',1
A,1992,b'Gregor Erbach',1
A,1992,b'Hans Paulussen',1
A,1992,b'Harald Trost*',1
A,1992,b'Hiromi Nakaiwa and Satoru Ikehara',1
A,1992,"b""Jeremy J.CARROLL\nSofia ANANIADOU\nJun'ichi TSUJII""",1
A,1992,"b'Jerry R. Hobbs, Douglas E. Appelt, John Bear, and Mabry Tyson'",1
A,1992,b'Joan Bachenko\nJeffrey Daughertyl\nEileen Fitzpatrick',1
A,1992,b'John R. R. Leavitt',1
A,1992,b'John S. Liu',1
A,1992,"b'Jyun-Sheng Chang*, Tsung-Yih Tseng,\nYing Cheng, Huey-Chyun Chen,\nShun-Der Cheng'",1
A,1992,b'Lynn Carlson',1
A,1992,"b'Madeleine Bates, BBN Systems and Technologies'",1
A,1992,b'Manny Rayner and Hiyan Alshawi *',1
A,1992,b'Marie Meteer',1
A,1992,b'Martin Volk',1
A,1992,"b'Michela Fasolo, Lorenzo Garbuio, Nicola Guarino'",1
A,1992,b'Owen Rambow Tanya Korelsky',1
A,1992,b'Paolo Baggia Elisabetta Gerbino Egidio Giachin Claudio Rullent',1
A,1992,"b'Patrick Paroubek**, Yves Schabes and Aravind K. Joshi'",1
A,1992,b'Paul S. Jacobs',1
A,1992,"b'Peggy M. Andersen, Philip J. Hayes\nAlison K. Huettner, Linda M. Schmandt\nIrene B. Nirenburg'",1
A,1992,b'Peter Wazinski',1
A,1992,"b'Ralf Kese, Friedrich Dudda, Gerhard Heyer, Marianne Kugler'",1
A,1992,b'Ralph Grishman and Catherine Macleod and John Sterling*',1
A,1992,"b'Roberto Basili , Maria Teresa Pazienza'",1
A,1992,b'Ronnie W. Smith*',1
A,1992,"b'Sadao Kurohashi, Makoto Nagao, Satoshi Sato and Masahiko Murakami'",1
A,1992,b'Satoshi SEKINE*',1
A,1992,b'Scott McGlashan and Norman Fraser and Nigel Gilbert',1
A,1992,b'Sean Boisen and Madeleine Bates*',1
A,1992,b'Sergei Nirenburg',1
A,1992,"b'Sergei Nirenburg, Peter Shell, Ariel Cohen, Peter'",1
A,1992,b'Stefan Wermter*',1
A,1992,"b'Stephan Dilley, John Bateman, Ulrich Thiel, Anne Tissen'",1
A,1992,b'Stephan M. Kerpedjiev*',1
A,1992,b'Steven P. Weinstein',1
A,1992,b'Sur-Jin Ker',1
A,1992,b'Theo Vosse*',1
A,1992,b'Victor Poznariski',1
A,1992,b'Willy Martin',1
A,1992,"b'Wolfgang Heinz, Johannes Matiasek\nErnst Buchberger'",1
A,1994,b'Abigail S. Gertner and Bonnie L. Webber John R. Clarke',1
A,1994,b'Advanced Research Laboratory\nHitachi Ltd.',1
A,1994,b'Akitoshi Okumura and Kazunori Muraki',1
A,1994,b'Alain Polguere',1
A,1994,b'Atro Voutilainen',1
A,1994,b'Carlos Segami',1
A,1994,b'Christian Jacquemin',1
A,1994,b'David Carter',1
A,1994,"b'David D. Palmer\nCS Division, 387 Soda Hall #1776'",1
A,1994,b'David E. Caldwell\nTatiana Korelsky',1
A,1994,b'David Elworthy',1
A,1994,b'David N. Chin Matthew McGranaghan Tung-Tse Chen',1
A,1994,b'Dekai Wu',1
A,1994,b'Eli Goldberg',1
A,1994,b'Fernando Gomez',1
A,1994,b'Flavia A. Barros and Anne DeRoeck',1
A,1994,b'Gabor PrOszeky',1
A,1994,"b'Hideki Hirakawa*, Kouichi Nomura**, Mariko Nakamura**'",1
A,1994,b'Ido Dagan* Ken Church',1
A,1994,b'James Shaw',1
A,1994,"b'Jose Coch, Raphael David'",1
A,1994,b'Karen Kukich',1
A,1994,b'Kathleen McKeown',1
A,1994,b'Kemal Oflazer and Cemaleddin Giizey',1
A,1994,b'Kemal Oflazer and ilker Kuruaz',1
A,1994,"b'Kozo 0i, Eiichiro Sumita, Osamu Furuse, Hitoshi Iida and Tetsuya Higuchit'",1
A,1994,b'Lynne J. Cahill*',1
A,1994,"b'Madeleine Bates, Robert Bobrow, Robert Ingria and David Stallard'",1
A,1994,b'Manfred Stede',1
A,1994,b'Masahiro Oku',1
A,1994,"b""Masaki KIYONO* and Jun'ichi TSUJII""",1
A,1994,b'Miguel Filgueiras',1
A,1994,b'Naoto Katohl Teruaki Aizawa',1
A,1994,b'Nobuyulci Tsukahara Yasunori Komatsu',1
A,1994,b'Pasi Tapanainen',1
A,1994,b'Peter Spyns',1
A,1994,b'Reinhard Schaler',1
A,1994,b'Richard Hull',1
A,1994,"b'Richard Kittredge, Eli Goldberg, Myunghee Kim & Alain Polguere 215'",1
A,1994,b'Richard Kittredgett',1
A,1994,b'Robert Frederking',1
A,1994,b'Robert Pasero Nathalie Richardet Paul Sabatier',1
A,1994,"b'Roberto Basili, Fabrizio Grisoli, Maria Teresa Pazienza'",1
A,1994,b'Sergei Nirenburg',1
A,1994,b'Steven Finch',1
A,1994,"b'Stuttgart, Germany'",1
A,1994,b'Takenobu TOKUNAGA',1
A,1994,b'Tao Hong and Jonathan J. Hull',2
A,1994,b'Tetsuo Araki',1
A,1994,b'Tomek Strzalkowski',1
A,1997,b'Amit Bagga\nJoyce Yue Chai',1
A,1997,b'Andrei Mikheev',1
A,1997,b'Arendse Bernth',1
A,1997,b'Atro Voutilainen',1
A,1997,b'Benoit Lavoie',1
A,1997,b'Benoit Lavoie and Owen Rambow',1
A,1997,b'Bernd M\xc3\xb6bius',1
A,1997,b'Bonnie J. Dorr',1
A,1997,"b'Breck Baldwin, Christine Doran, Jeffrey C. Reynar, Michael Niv, B. Srinivas'",1
A,1997,b'Carolyn Penstein Rose',1
A,1997,b'Chengxiang Zhai',1
A,1997,b'Chin-Yew Lin and Eduard Hovy',1
A,1997,b'Chinatsu Aone and Nicholas Charocopos and James Gorlinsky',1
A,1997,b'Chong Woo Woos\nYuemei Zhang',1
A,1997,b'Cigdem Keyder Turhan',1
A,1997,b'Daniel M. Bikel',1
A,1997,b'David D. Palmer and David S. Day',1
A,1997,"b'David Day, John Aberdeen, Lynette Hirschman,\nRobyn Kozierok, Patricia Robinson and Marc Vilain'",1
A,1997,"b'David McKelvie, Chris Brew & Henry Thompson'",1
A,1997,b'Dekang Lin',1
A,1997,b'Dragomir R. Radev and Kathleen R. McKeown',1
A,1997,"b""Fumiyo Fukumoto Yoshimi Suzukit Jun'ichi Fukumotot""",1
A,1997,b'Gregory Aist\nComp. Ling. Program',1
A,1997,b'Gunter Neumann* Rolf Backofent Judith Baurt Markus Becker1 Christian Braun11',1
A,1997,b'Hamish Cunningham',1
A,1997,"b'Harold Somers, Bill Black'",1
A,1997,b'Hiroshi Echizen-ya',1
A,1997,b'I. Dan Melamed',1
A,1997,b'Ian Cloete',1
A,1997,b'Jan Alexandersson Norbert Reithinger Elisabeth Maier',1
A,1997,b'Jan Haji and Barbora Hladka',1
A,1997,b'Jeffrey C. Reynar and Adwait Ratnaparkhi*',1
A,1997,b'John Nerbonne',1
A,1997,"b""Jong C. Park', Martha Palmer', and Gay Washburn2""",1
A,1997,b'Karel Oliva',1
A,1997,b'Kathleen R. McKeown\nShimei Pan and James Shaw',1
A,1997,b'Kenji Araki',1
A,1997,b'Kenneth Wauchope',1
A,1997,"b'Kenneth Wauchope, Stephanie Everett, Dennis Perzanowski, Elaine Marsh'",1
A,1997,b'Kevin Humphreys',1
A,1997,b'Madeline Bates and Rusty Bobrow',1
A,1997,b'Marsal Gayalda Klaus Zechner',1
A,1997,b'Martin Platek',1
A,1997,b'Matthew Hurst and Shona Douglas',1
A,1997,b'Michael P. Jones and James H. Martin',1
A,1997,b'Michael Schoelles and Henry Hamburger',1
A,1997,b'Michael White and David E. Caldwell',1
A,1997,"b""Nina Wacholder'\nCRIA""",1
A,1997,b'Owen Rainbow Ehud Reiter',1
A,1997,"b'P. Spyns [1], NT. Nhan [2], E. Baert [1], N. Sager [2], G. De Moor [1]'",1
A,1997,b'Pasi Tapanainen and Timo Jarvinen',1
A,1997,"b'Philip R. Cohen, Michael Johnston, David McGee, Sharon Oviatt, Jay Pittman,\nIra Smith, Liang Chen and Josh Clow'",1
A,1997,b'Philip Resnik',1
A,1997,b'Pieter Theron',1
A,1997,"b'R. C. Moore, J. Dowding, H. Bratt, J. M. Gawron, Y. Gorfu, and A. Cheyer'",1
A,1997,"b'Ralph Grishman (chair), New York University\nChinatsu Aone, SRA Corp.\nRusty Bobrow, BBN\nMartha Evens, Illinois Institute of Technology\nLynette Hirschman, MITRE Corp.\nEduard Hovy, Univ. of Southern California/Information Sciences Institute\nYuji Matsumoto, Nara Institute of Science and Technology\nBoyan Onyshkevych, U. S. Dept. of Defense\nTomek Strzalkowski, General Electric Corporate Res. and Dev.\nHenry Thompson, Univ. of Edinburgh\nHans Uszkoreit, DFKI Saarbruecken\nMarc Vilain, MITRE Corp.'",1
A,1997,b'Ralph Weischedel',1
A,1997,b'Randy M. Kaplan',1
A,1997,b'Richard Schwartz',1
A,1997,b'Robert Gaizauskas',1
A,1997,b'Ronnie W. Smith',1
A,1997,"b'Salah Ait-Mokhtar, Jean-Pierre Chanod'",1
A,1997,b'Satoshi Sekine',1
A,1997,b'Scott Miller',1
A,1997,b'Stefanie Jannedy',1
A,1997,"b'Stephan Busemann\nDFKI GmbH\nStuhlsatzenhausweg 3, 66123 Saarbriicken, Germany'",1
A,1997,"b'Stephan Busemann, Thierry Declerck, Abdel Kader Diagne,\nLuca Dini, Judith Klein, Sven Schmeier'",1
A,1997,b'Steve Richardson',1
A,1997,b'Steven Finch',1
A,1997,"b'Sun Maosong, Shen Dayang, Huang Changning'",1
