Conference,Year,Author Name,No. of inCitations
A,1983,C J Date,2
A,1983,C H Kellogg,1
A,1983,J F Burger,1
A,1983,T Diller,1
A,1983,K Fogt,1
A,1983,John Olney,1
A,1983,R J H Scha,1
A,1983,R F Simmons,2
A,1983,M Stonebraker,1
A,1983,F B Thompson,3
A,1983,P C Lockemann,1
A,1983,B H Dostert,1
A,1983,R Deverill,1
A,1983,D L Waltz,2
A,1983,I Cohen,1
A,1983,C P Perrault,1
A,1983,J Allen,1
A,1983,Beyond QuestionAnswering,1
A,1983,C Fillmore,1
A,1983,M G Gawron,1
A,1983,D Gielan,1
A,1983,Ginspargi,1
A,1983,Grosz,1
A,1983,S J Kaplan,2
A,1983,in Minsky,1
A,1983,M Ed,1
A,1983,J Ullman,1
A,1983,C R Perrault,1
A,1983,A 3 Plitt,1
A,1983,D A Waterman,1
A,1983,A johi B Webber,1
A,1983,T Winograd,3
A,1983,P H Winston,1
A,1983,B at al Grosz,1
A,1983,R C Moore,2
A,1983,J Robinson,1
A,1983,B H Thompson,2
A,1983,D E Walker,1
A,1983,D Waltz,3
A,1983,D H Warren,1
A,1983,W A Woods,10
A,1983,R M Kaplan,4
A,1983,B N-Webber,1
A,1983,R J Bobrow,1
A,1983,B L Webber,1
A,1983,R Grishman,3
A,1983,L Hirschman,5
A,1983,C Friedman,2
A,1983,Z Harris,1
A,1983,G Hendrix,5
A,1983,E Sacerdoti,1
A,1983,D Sagalowicz,4
A,1983,J Slocum,4
A,1983,N Sager,8
A,1983,Data Base,1
A,1983,B Nash-Webber,3
